"","Pop_1","Pop_2","Pop_3"
"loc0513",0.5,0.5,0.5111
"loc0514",0,0.1429,0.1
"loc0515",0.5,0.5,0.5111
"loc0516",0.5,0.5,0.5111
"loc0517",0.5,0.5,0.5111
"loc0518",0.5,0.5,0.5111
"loc0519",0.5,0.5,0.5111
"loc0520",0.5,0.5,0.5111
"loc0521",0.5,0.5,0.5
"loc0522",0.5,0.4762,0.5
"loc0523",0.5,0.4762,0.5
"loc0524",0.5,0.4762,0.5
"loc0525",0.3214,0.2619,0.2778
"loc0526",0,0,0.2778
"loc0527",0,0.1429,0.3333
"loc0528",0.3214,0.1429,0.3889
"loc0529",0.2321,0.3571,0.1
"loc0530",0.125,0,0.2
"loc0531",0,0.4524,0.2667
"loc0532",0.3393,0,0
"loc0533",0.3393,0.381,0.1
"loc0534",0,0.2619,0.1
"loc0535",0,0.2619,0.1
"loc0536",0.3393,0.2619,0
"loc0537",0.4464,0.2619,0.1889
"loc0538",0.3214,0.2619,0
"loc0539",0.4464,0.5238,0.4
"loc0540",0.5,0.5,0.4444
"loc0541",0,0,0.1889
"loc0542",0,0,0.1889
"loc0543",0,0,0.1889
"loc0544",0,0,0.1889
"loc0545",0,0.3571,0
"loc0546",0.2321,0.1429,0.1
"loc0547",0.3214,0.1429,0.1889
"loc0548",0.5179,0.2619,0.4889
"loc0549",0.5179,0,0
"loc0550",0.2321,0.5476,0.4444
"loc0551",0.5179,0,0
"loc0552",0,0.1429,0.1
"loc0553",0.2321,0.381,0.1889
"loc0554",0.2321,0,0
"loc0555",0.125,0.3571,0
"loc0556",0.4821,0.4286,0.5
"loc0557",0.3929,0.4286,0.3889
"loc0558",0.4464,0.4762,0.5
"loc0559",0.125,0.4762,0.4889
"loc0560",0.125,0.2619,0.3333
"loc0561",0.125,0.4286,0.3889
"loc0562",0.125,0,0.1889
"loc0563",0.5357,0.4762,0.5333
"loc0564",0.4643,0.2619,0
"loc0565",0.125,0,0.2
"loc0566",0.2321,0.2619,0
"loc0567",0.3214,0.2619,0.1889
"loc0568",0,0.1429,0.2667
"loc0569",0.5179,0.2619,0.1889
"loc0570",0.5357,0.5238,0.5
"loc0571",0,0.381,0.1
"loc0572",0.125,0.4524,0.5222
"loc0573",0,0,0.1889
"loc0574",0,0.2857,0
"loc0575",0,0,0.1889
"loc0576",0.125,0,0.1
"loc0577",0.125,0,0.1
"loc0578",0.125,0.2857,0.4444
"loc0579",0.5357,0.5476,0.3889
"loc0580",0,0.1429,0.1
"loc0581",0.3214,0.4524,0.4889
"loc0582",0.3929,0.1429,0.1
"loc0583",0.3929,0.1429,0.1
"loc0584",0,0,0.2667
"loc0585",0,0.4524,0
"loc0586",0,0.2857,0
"loc0587",0.5179,0.5238,0.4889
"loc0588",0.125,0.5238,0.4111
"loc0589",0.125,0.5238,0.2667
"loc0590",0.5,0.4762,0.5222
"loc0591",0.5179,0.4762,0.3889
"loc0592",0.25,0.5238,0.4111
"loc0593",0.25,0.5238,0.4111
"loc0594",0.25,0.5238,0.4111
"loc0595",0.25,0.5238,0.4111
"loc0596",0.4821,0.4762,0.5222
"loc0597",0.4821,0.4762,0.5222
"loc0598",0.5179,0.4762,0.4333
"loc0599",0.4821,0.4762,0.5222
"loc0600",0.4821,0.4762,0.5222
"loc0601",0.5179,0.4762,0.4333
"loc0602",0,0.2857,0.4444
"loc0603",0.125,0,0.1889
"loc0604",0.2321,0.1429,0
"loc0605",0.5179,0.4524,0.5333
"loc0606",0.4107,0.5476,0.2778
"loc0607",0,0.1429,0.1
"loc0608",0.125,0.5,0.2778
"loc0609",0.125,0,0.1
"loc0610",0.5,0.5714,0.5222
"loc0611",0.5,0.5714,0.5222
"loc0612",0,0,0.1889
"loc0613",0.125,0,0.1889
